Local Agent Code,Clearance No,Clearance Date,Clearance Charge,Manufacture Name,Exporter,Country,Invoice No,Invoice Date,Type of Consignment ,Date of Arrival ,MOH Registered ,MOH Reg. No,HS Code,Trade Name,Generic Name,Batch No,Dosage,Strength/Volume,Pack Size,Per Pack Quantity,Manufacture Date,Expiry Date,Shelf Life ,Institution (Distribution),Institution Qty,Unit,Unit Price,Total Price,Currency,Free Qty,Net Qty,Remarks
OPP,10690,09-12-2018,,Sun Pharmaceutical Industries (Australia) Pty Ltd,Sun Pharmaceutical Industries (Australia) Pty Ltd,Australia,17513,27-11-2018,Active Pharmaceutical Ingredient,24-12-2018,Y,929,29391100,Codeine Phosphate,Codeine Phosphate,CPO5398,,,,,Jun-18,May-23,60,0,,kg,,,USD,0,,
OPP,10690,09-12-2018,,Sun Pharmaceutical Industries (Australia) Pty Ltd,Sun Pharmaceutical Industries (Australia) Pty Ltd,Australia,17513,27-11-2018,Active Pharmaceutical Ingredient,24-12-2018,Y,929,29391100,Codeine Phosphate,Codeine Phosphate,CPO5410,,,,,Jun-18,May-23,60,0,,kg,,,USD,0,,
OPP,10690,09-12-2018,,Sun Pharmaceutical Industries (Australia) Pty Ltd,Sun Pharmaceutical Industries (Australia) Pty Ltd,Australia,17513,27-11-2018,Active Pharmaceutical Ingredient,24-12-2018,Y,929,29391100,Codeine Phosphate,Codeine Phosphate,CPO5418,,,,,Jul-18,Jun-23,60,0,,kg,,,USD,0,,
OPP,10691,09-12-2018,,Saraca Laboratories ltd,Saraca Laboratories ltd,India,EXP/T/264/18-19,30-11-2018,Active Pharmaceutical Ingredient,19-12-2018,Y,3950,29420014,Ranitidine,Ranitidine,RH/11 2018 1597,,,,,Nov-18,Oct-23,60,0,100,kg,17.5,1750,USD,0,100,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,38220090,"1-Hexane Sulfonic Acid, Sodium Salt,98+%, Ion pair Cromatography","1-Hexane Sulfonic Acid, Sodium Salt,98+%, Ion pair Cromatography",1861584,,,,,-,-,-,0,5,Pack,151,755,USD,0,5,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29309099,Dimethyl Sulfoxide Pharmaceutical Scondary Standard,Dimethyl Sulfoxide Pharmaceutical Scondary Standard,LRAA9105,,,,,-,-,-,0,10,Pack,103.122,1031.22,USD,0,10,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,31022100,Ammonium Sulphate,Ammonium Sulphate,B233871806,,,,,-,-,-,0,2,Pack,10.625,21.25,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28100020,Boric Acid,Boric Acid,B248711801,,,,,-,-,-,0,10,Pack,21.25,212.5,USD,0,10,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29181400,Citric acid anhydrous,Citric acid anhydrous,A252921802,,,,,-,-,-,0,3,Pack,12.19,36.57,USD,0,3,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,31043000,Potassium  Sulphate,Potassium  Sulphate,A65271810,,,,,-,-,-,0,5,Pack,9.809,49.05,USD,0,5,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,30021020,Horse Serum Donor Herd Gamma irradiated,Horse Serum Donor Herd Gamma irradiated,360386,,,,,-,-,-,0,4,Pack,95.625,382.5,USD,0,4,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28353900,Potassium Pyrophosphate,Potassium Pyrophosphate,STBH0268,,,,,-,-,-,0,1,Pack,58.123,58.123,USD,0,1,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29182990,Propyl-4-hydroxybenzoate Sodium salt 99% extra pure,Propyl-4-hydroxybenzoate Sodium salt 99% extra pure,L257651802,,,,,-,-,-,0,2,Pack,21.25,42.5,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28276010,Potassium Iodide 99.5% AR,Potassium Iodide 99.5% AR,A274131808,,,,,-,-,-,0,5,Pack,67.4985,337.49,USD,0,5,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29392030,Quinine Sulphate Dihydrate 99.5% AR,Quinine Sulphate Dihydrate 99.5% AR,A153241801,,,,,-,-,-,0,3,Pack,21.1905,63.57,USD,0,3,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,32041342,Rhodamine B AR,Rhodamine B AR,L216161802,,,,,-,-,-,0,1,Pack,12.325,12.33,USD,0,1,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28275110,Sodium bromide 99% AR,Sodium bromide 99% AR,B261791804,,,,,-,-,-,0,2,Pack,26.877,53.75,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,38249925,Silica gel self-indicating (blue) (coarse) 5-8 mesh,Silica gel self-indicating (blue) (coarse) 5-8 mesh,L275711808,,,,,-,-,-,0,2,Pack,14.8155,29.63,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29400000,D-xylose,D-xylose,L260241803,,,,,-,-,-,0,2,Pack,12.325,24.65,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29159090,Capric Acid (Decanoic acid) 98% for synthesis,Capric Acid (Decanoic acid) 98% for synthesis,LL08301801,,,,,-,-,-,0,1,Pack,20.3235,20.32,USD,0,1,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28259040,Calcium hydroxide 96% AR,Calcium hydroxide 96% AR,A26919Z1810,,,,,-,-,-,0,2,Pack,30.1835,60.37,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28352500,Calcium hydrogen phosphate anhydrous 98% extra pure,Calcium hydrogen phosphate anhydrous 98% extra pure,L251301801,,,,,-,-,-,0,2,Pack,26.486,52.97,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29211990,Diethyl amine benzaldehyde 99% AR,Diethyl amine benzaldehyde 99% AR,L229301802,,,,,-,-,-,0,1,Pack,16.9405,16.94,USD,0,1,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29222990,p-Dimthyl amino benzaldehyde 99% AR,p-Dimthyl amino benzaldehyde 99% AR,A209801809,,,,,-,-,-,0,2,Pack,18.173,36.35,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,28321090,Sodium metabisulphite 97% AR/ACS,Sodium metabisulphite 97% AR/ACS,B26961Z1806,,,,,-,-,-,0,2,Pack,15.71,31.42,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29061990,Diphenyl carbinol 98% for synthesis,Diphenyl carbinol 98% for synthesis,L162481808,,,,,-,-,-,0,2,Pack,16.422,32.84,USD,0,2,
OPP,10775,10-12-2018,,Jignesh Agency Private Limited,Jignesh Agency Private Limited,India,EXV1819070,30-11-2018,Laboratory Reagent,01-01-2019,N,N,29309099,Dimthyl Sulphoxide 99.9% GC,Dimthyl Sulphoxide 99.9% GC,G250631712,,,,,-,-,-,0,10,Pack,32.6485,326.49,USD,0,10,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29176990,Benzoquinone,Benzoquinone,,,,,,-,-,-,0,2,PCS,250,500,USD,0,2,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29332900,Clotrimazole,Clotrimazole,,,,,,-,-,-,0,1,PCS,200,200,USD,0,1,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29372300,Ethinyl Estradiol Related Compound B,Ethinyl Estradiol Related Compound B,,,,,,-,-,-,0,2,PCS,775,1550,USD,0,2,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29335959,Levocetrizine Dihydrochloride,Levocetrizine Dihydrochloride,,,,,,-,-,-,0,1,PCS,245,245,USD,0,1,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29335959,Levocetrizine Dihydrochloride,Levocetrizine Dihydrochloride,,,,,,-,-,-,0,1,PCS,245,245,USD,0,1,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29400060,Mannose,Mannose,,,,,,-,-,-,0,1,PCS,210,210,USD,0,1,
OPP,10776,10-12-2018,,U.S.Pharmaceutical Convention,U.S.Pharmaceutical Convention,USA,32022227,30-11-2018,Reference Standards,30-12-2018,Y,N,29333990,Omeprazole Related Compund A,Omeprazole Related Compund A,,,,,,-,-,-,0,3,PCS,775,2325,USD,0,3,
OPP,10777,10-12-2018,,FDC Limited,FDC Limited,India,9510001863,23-11-2018,Active Pharmaceutical Ingredient,19-12-2018,Y,318,29051420,Salbutamol Sulfate,Salbutamol Sulfate,281004,,,,,Sep-18,Aug-23,60,0,25,kg,130,3250,USD,0,25,
OPP,10778,10-12-2018,,DFE (Germany),Smit Export Pvt Ltd,India,SEPL-157/18-19,17-11-2018,Pharmaceutical Excipient,23-12-2018,N,N,17021110,Lactose Monohydrate,Lactose Monohydrate,102L57L,,,,,May-18,Apr-20,24,0,480,kg,7.4,3552,USD,0,480,
OPP,10778,10-12-2018,,Amishi Drugs & Chem,Smit Export Pvt Ltd,India,SEPL-157/18-19,17-11-2018,Pharmaceutical Excipient,23-12-2018,N,N,39121100,Croscarmellose Sodium,Croscarmellose Sodium,ACRMC/10/041018,,,,,Mar-18,Feb-22,48,0,100,kg,6.7,670,USD,0,100,
OPP,10778,10-12-2018,,Gufic Biosciences Limited,Smit Export Pvt Ltd,India,SEPL-157/18-19,17-11-2018,Pharmaceutical Excipient,23-12-2018,N,N,29242900,Lidocaine BP,Lidocaine BP,1504,,,,,Sep-18,Aug-23,60,0,25,kg,22.1,552.5,USD,0,25,
OPP,10778,10-12-2018,,Rasula,Smit Export Pvt Ltd,India,SEPL-157/18-19,17-11-2018,Pharmaceutical Excipient,23-12-2018,N,N,29182900,Propyl Paraben ,Propyl Paraben ,1807028P,,,,,Jun-18,May-23,60,0,25,kg,9.25,231.25,USD,0,25,
OPP,10778,10-12-2018,,Camlin,Smit Export Pvt Ltd,India,SEPL-157/18-19,17-11-2018,Pharmaceutical Excipient,23-12-2018,N,N,29093000,Butylated Hydroxy Toluene (BHT),Butylated Hydroxy Toluene (BHT),ABH018J012,,,,,Oct-18,Sep-20,24,0,5,kg,62,310,USD,0,5,
OPP,10793,11-12-2018,,Ashland Industries Europe GmbH,Ashland Industries Europe GmbH,Switzerland,943112209,10-12-2018,Pharmaceutical Excipient,19-12-2018,N,N,39123920,Hydroxypropyl Cellulose,Hydroxypropyl Cellulose,189671,,,,,Nov-18,Nov-21,36,0,45.36,kg,59.79,2712.07,EUR,0,45.36,
OPP,10794,11-12-2018,,"United Farmer & Industry Co Ltd, Thailand",Emad Trade House,UAE,IMP-806/12/18,06-12-2018,Pharmaceutical Excipient,17-12-2018,N,N,17019911,Refined Sugar,Refined Sugar,,,,,,-,-,-,0,15000,kg,0.583,8745,USD,0,15000,
OPP,10956,16-12-2018,,USP I.S Pharmacopeial Convention,USP I.S Pharmacopeial Convention,USA,32055999,05-12-2018,Reference Standards,06-01-2019,N,N,29221996,Clomiphene Related Compound A,Clomiphene Related Compound A,,,,,,-,-,-,0,1,PCS,835,835,USD,0,1,
OPP,10956,16-12-2018,,USP I.S Pharmacopeial Convention,USP I.S Pharmacopeial Convention,USA,32055999,05-12-2018,Reference Standards,06-01-2019,N,N,17019940,Sucrose,Sucrose,,,,,,-,-,-,0,2,PCS,275,550,USD,0,2,
OPP,11139,19-12-2018,,Parabolic Drugs Ltd,Orbit Life Science,India,EXS/12/004,13-12-2018,Active Pharmaceutical Ingredient,27-12-2018,Y,4815,29419090,Cepfodoxime,Cepfodoxime,CPMG180026,,,,,Nov-18,Oct-21,36,0,247.5,kg,178.5,44178.75,USD,0,247.5,
OPP,11142,19-12-2018,,Symbiotica Speciality Ingredients SDN.BHD,Symbiotica Speciality Ingredients SDN.BHD,Malaysia,I 18/0,12-12-2018,Active Pharmaceutical Ingredient,01-01-2019,Y,2184,29372200,Beamethasone Dipropionate,Beamethasone Dipropionate,BDP 204/0218,,,,,Feb-18,Jan-23,60,0,1,kg,2200,2200,USD,0,1,
OPP,11142,19-12-2018,,Symbiotica Speciality Ingredients SDN.BHD,Symbiotica Speciality Ingredients SDN.BHD,Malaysia,I 18/0,12-12-2018,Active Pharmaceutical Ingredient,01-01-2019,Y,2180,29372200,Betamethasone Valerate,Betamethasone Valerate,BV 002/1018,,,,,Oct-18,Sep-23,60,0,2.5,kg,2200,5500,USD,0,2.5,
OPP,11143,19-12-2018,,Ercros SA,Ercros SA,Spain,76003549,14-12-2018,Active Pharmaceutical Ingredient,02-01-2019,Y,5578,30039000,Fusidic Acid Micronised ,Fusidic Acid Micronised ,FS896-M,,,,,Nov-18,Nov-21,36,0,12,kg,755,9060,USD,0,12,
OPP,11189,20-12-2018,,"Saurav Chemicals Limited, India",Pharmathen Pharmaceutical Industry,Greece,E40012747,18-12-2018,Active Pharmaceutical Ingredient,31-12-2018,N,1449,29224985,Pregabalin,Pregabalin,1841896,,,,,Jul-18,Jun-23,60,0,2500,kg,1.9,4750,EUR,0,2500,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tabs 5mg/Tab Bulk,Olanzapine OD Tabs 5mg/Tab Bulk,0806967A,,,,,-,Feb-19,-,0,95668,PCS,0.0299,2860.47,EUR,0,95668,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tabs 5mg/Tab Bulk,Olanzapine OD Tabs 5mg/Tab Bulk,0806968A,,,,,-,Feb-19,-,0,93641,PCS,0.0299,2799.87,EUR,0,93641,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tabs 5mg/Tab Bulk,Olanzapine OD Tabs 5mg/Tab Bulk,0806969A,,,,,-,Feb-19,-,0,93797,PCS,0.0299,2804.53,EUR,0,93797,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tabs 5mg/Tab Bulk,Olanzapine OD Tabs 5mg/Tab Bulk,0806970A,,,,,-,Feb-19,-,0,94426,PCS,0.0299,2823.34,EUR,0,94426,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tabs 5mg/Tab Bulk,Olanzapine OD Tabs 5mg/Tab Bulk,080671A,,,,,-,Feb-19,-,0,93277,PCS,0.0299,2788.98,EUR,0,93277,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab15MG Sandoz CA(Bulk),Olanzapine OD Tab15MG Sandoz CA(Bulk),0806972A,,,,,-,Feb-19,-,0,91318,PCS,0.06,5479.08,EUR,0,91318,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab10MG Sandoz CA(Bulk),Olanzapine OD Tab10MG Sandoz CA(Bulk),0807013A,,,,,-,Feb-19,-,0,94217,PCS,0.0393,3702.73,EUR,0,94217,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab10MG Sandoz CA(Bulk),Olanzapine OD Tab10MG Sandoz CA(Bulk),0807014A,,,,,-,Feb-19,-,0,96699,PCS,0.0393,3800.27,EUR,0,96699,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab10MG Sandoz CA(Bulk),Olanzapine OD Tab10MG Sandoz CA(Bulk),0807015A,,,,,-,Feb-19,-,0,93017,PCS,0.0393,3655.57,EUR,0,93017,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab10MG Sandoz CA(Bulk),Olanzapine OD Tab10MG Sandoz CA(Bulk),0807016A,,,,,-,Feb-19,-,0,96688,PCS,0.0393,3799.84,EUR,0,96688,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab10MG Sandoz CA(Bulk),Olanzapine OD Tab10MG Sandoz CA(Bulk),0807017A,,,,,-,Feb-19,-,0,93080,PCS,0.0393,3658.04,EUR,0,93080,
OPP,11190,20-12-2018,,Pharmathen Pharmaceuticals Industry,Pharmathen Pharmaceuticals Industry,Greece,E40012753,18-12-2018,Semi Finished Products - Bulk Tablets,31-12-2018,Y,N,30039000,Olanzapine OD Tab20MG Sandoz CA(Bulk),Olanzapine OD Tab20MG Sandoz CA(Bulk),0806584A,,,,,-,Feb-19,-,0,94164,PCS,0.0635,5979.41,EUR,0,94164,
OPP,11198,23-12-2018,,"Union Derivan S.A, Spain",Magnesia Mineral Compunds,Germany,1845201,19-11-2018,Pharmaceutical Excipient,24-12-2018,N,N,29157040,Magnesium Strearate,Magnesium Strearate,354261,,,,,Sep-18,Sep-20,24,0,20,kg,20.5,410,EUR,0,20,
OPP,11199,23-12-2018,,Jignesh Agency Pvt Ltd,Jignesh Agency Pvt Ltd,India,EXV1819076,10-12-2018,Pharmaceutical Excipient,25-12-2018,N,N,29269000,Laboratory Reagent,Laboratory Reagent,LRAB7855,,,,,-,-,-,0,10,Pack,103.122,1031.22,USD,0,10,
