state,state_tribal_other_agencies,unit_office,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition_1,rape_legacy_definition_2,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson3
,,Capital,0,0,0,,0,0,6,1,5,0,0
,,Channel Coast,1,0,0,,0,1,36,2,33,1,0
,,Colorado,0,0,0,,0,0,0,0,0,0,0
,,Four Rivers District,0,0,0,,0,0,1,0,1,0,0
,,Gold Fields District,2,0,0,,0,2,78,1,75,2,0
,,Hollister Hills,0,0,0,,0,0,0,0,0,0,0
,,Hungry Valley,0,0,0,,0,0,0,0,0,0,0
,,Inland Empire,0,0,0,,0,0,4,3,1,0,0
,,Marin County,0,0,0,,0,0,11,2,9,0,0
,,Mendocino Headquarters,1,0,0,,1,0,10,0,10,0,0
,,Monterey County,1,0,0,,0,1,90,33,53,4,0
,,North Coast Redwoods,0,0,0,,0,0,33,5,27,1,1
,,Northern Buttes,0,0,0,,0,0,15,1,13,1,0
,,Oceano Dunes,5,0,0,,0,5,41,0,39,2,1
,,Ocotillo Wells,1,0,0,,0,1,3,0,3,0,0
,,Orange Coast,0,0,0,,0,0,57,19,37,1,0
,,Russian River,0,0,0,,0,0,16,0,16,0,0
,,San Diego Coast,7,0,0,,1,6,9,2,7,0,0
,,San Joaquin,2,0,0,,0,2,1,0,1,0,0
,,San Luis Obispo Coast,1,0,0,,0,1,26,1,24,1,0
,,Santa Cruz Mountains,1,0,0,,0,1,109,1,107,1,0
,,Sierra,0,0,0,,0,0,6,0,6,0,0
,,Silverado,0,0,0,,0,0,4,0,4,0,0
,,Tehachapi District,0,0,0,,0,0,18,10,6,2,0
,,Twin Cities,0,0,0,,0,0,0,0,0,0,0
,Fairview Developmental Center,,4,0,0,,0,4,2,1,1,0,0
,Highway Patrol: ,Alameda County,1,0,0,,0,1,275,0,74,201,0
,,Alpine County,0,0,0,,0,0,0,0,0,0,0
,,Amador County,0,0,0,,0,0,38,0,5,33,0
,,Butte County,0,0,0,,0,0,339,2,87,250,0
,,Calaveras County,0,0,0,,0,0,84,0,4,80,0
,,Colusa County,0,0,0,,0,0,10,0,5,5,0
,,Contra Costa County,3,0,0,,0,3,679,0,2,677,0
,,Del Norte County,0,0,0,,0,0,106,0,1,105,0
,,El Dorado County,0,0,0,,0,0,157,2,64,91,0
,,Fresno County,0,0,0,,0,0,225,0,27,198,0
,,Glenn County,0,0,0,,0,0,33,0,5,28,0
,,Humboldt County,0,0,0,,0,0,372,0,53,319,0
,,Imperial County,0,0,0,,0,0,50,0,4,46,0
,,Inyo County,0,0,0,,0,0,20,0,5,15,0
,,Kern County,1,0,0,,0,1,291,1,28,262,0
,,Kings County,0,0,0,,0,0,156,0,34,122,0
,,Lake County,4,0,0,,0,4,228,3,18,207,0
,,Lassen County,1,0,0,,0,1,29,0,8,21,0
,,Los Angeles County,29,0,1,,3,25,926,5,71,850,0
,,Madera County,0,0,0,,0,0,217,3,44,170,0
,,Marin County,0,0,0,,0,0,75,0,23,52,0
,,Mariposa County,0,0,0,,0,0,24,0,5,19,0
,,Mendocino County,1,0,0,,0,1,146,1,21,124,0
,,Merced County,0,0,0,,0,0,453,0,97,356,0
,,Modoc County,0,0,0,,0,0,3,0,0,3,0
,,Mono County,0,0,0,,0,0,2,0,1,1,0
,,Monterey County,0,0,0,,0,0,454,0,37,417,0
,,Napa County,0,0,0,,0,0,19,0,4,15,0
,,Nevada County,2,1,0,,0,1,106,0,10,96,0
,,Orange County,8,0,0,,0,8,53,0,32,21,0
,,Placer County,1,0,0,,0,1,156,0,65,91,0
,,Plumas County,0,0,0,,0,0,24,0,12,12,0
,,Riverside County,15,0,0,,1,14,121,8,27,86,0
,,Sacramento County,7,0,0,,0,7,4571,7,1564,3000,4
,,San Benito County,0,0,0,,0,0,21,0,0,21,0
,,San Bernardino County,19,0,0,,1,18,66,6,21,39,0
,,San Diego County,10,0,0,,0,10,118,1,17,100,0
,,San Francisco County,1,0,0,,0,1,30,0,1,29,0
,,San Joaquin County,1,0,0,,0,1,705,0,153,552,0
,,San Luis Obispo County,0,0,0,,0,0,158,0,1,157,0
,,San Mateo County,0,0,0,,0,0,12,0,4,8,0
,,Santa Barbara County,0,0,0,,0,0,210,0,62,148,0
,,Santa Clara County,0,0,0,,0,0,86,0,24,62,0
,,Santa Cruz County,0,0,0,,0,0,620,0,161,459,0
,,Shasta County,1,0,0,,1,0,308,5,76,227,0
,,Sierra County,0,0,0,,0,0,0,0,0,0,0
,,Siskiyou County,0,0,0,,0,0,69,0,12,57,0
,,Solano County,0,0,0,,0,0,24,0,0,24,0
,,Sonoma County,0,0,0,,0,0,284,1,73,210,0
,,Stanislaus County,0,0,0,,0,0,705,0,105,600,0
,,Sutter County,0,0,0,,0,0,42,0,0,42,0
,,Tehama County,0,0,0,,0,0,146,0,27,119,0
,,Trinity County,1,0,0,,0,1,65,0,5,60,0
,,Tulare County,0,0,0,,0,0,621,0,38,583,0
,,Tuolumne County,0,0,0,,0,0,165,0,81,84,0
,,Ventura County,0,0,0,,0,0,50,0,10,40,0
,,Yolo County,0,0,0,,0,0,60,0,6,54,0
,,Yuba County,0,0,0,,0,0,303,0,11,292,0
,Napa State Hospital,,149,0,3,,0,146,8,2,6,0,0
,Patton State Hospital,,504,0,1,,1,502,7,0,7,0,0
,Porterville Developmental Center,,18,0,0,,0,18,8,2,6,0,0
,Sonoma Developmental Center,,4,0,0,,0,4,4,0,4,0,0
CALIFORNIA–Tribal Agencies,Sycuan Tribal,,11,0,0,,3,8,63,11,29,23,
CALIFORNIA–Other Agencies,East Bay Municipal Utility,,0,0,0,,0,0,27,0,25,2,1
,East Bay Regional Parks:,Alameda County,13,0,3,,1,9,110,0,103,7,0
,,Contra Costa County,10,0,0,,3,7,146,0,143,3,0
,Fontana Unified School District,,17,0,0,,1,16,77,30,41,6,5
,Los Angeles County Metropolitan Transportation Authority,,3,0,1,,1,1,22,0,22,0,1
,Los Angeles Transportation Services Bureau,,734,3,6,,410,315,975,12,854,109,7
,Monterey Peninsula Airport,,0,0,0,,0,0,16,9,4,3,0
,Port of San Diego Harbor,,79,0,7,,10,62,523,34,478,11,0
,San Bernardino Unified School District,,70,0,4,,58,8,289,127,144,18,10
,San Francisco Bay Area Rapid Transit: ,Alameda County,184,1,1,,148,34,1560,5,1206,349,0
,,Contra Costa County,79,0,4,,49,26,774,2,598,174,1
,,San Francisco County,49,0,0,,34,15,254,0,254,0,0
,,San Mateo County,20,0,0,,9,11,140,0,121,19,0
,Santa Clara Transit District,,56,0,2,,20,34,119,9,79,31,0
,Shasta County Marshal,,0,0,0,,0,0,0,0,0,0,0
,Stockton Unified School District,,38,0,2,,16,20,239,90,146,3,1
,Twin Rivers Unified School District,,14,0,1,,5,8,153,102,45,6,0
,Union Pacific Railroad: ,Alameda County,0,0,0,,0,0,3,1,2,0,0
,,Amador County,0,0,0,,0,0,0,0,0,0,0
,,Butte County,0,0,0,,0,0,6,2,4,0,0
,,Calaveras County,0,0,0,,0,0,0,0,0,0,0
,,Colusa County,0,0,0,,0,0,0,0,0,0,0
,,Contra Costa County,0,0,0,,0,0,1,0,1,0,0
,,El Dorado County,0,0,0,,0,0,0,0,0,0,0
,,Fresno County,0,0,0,,0,0,2,0,2,0,0
,,Glenn County,0,0,0,,0,0,0,0,0,0,0
,,Humboldt County,0,0,0,,0,0,0,0,0,0,0
,,Imperial County,0,0,0,,0,0,6,0,6,0,0
,,Inyo County,0,0,0,,0,0,0,0,0,0,0
,,Kern County,0,0,0,,0,0,21,5,16,0,0
,,Kings County,0,0,0,,0,0,0,0,0,0,0
,,Lassen County,0,0,0,,0,0,0,0,0,0,0
,,Los Angeles County,1,0,0,,0,1,229,178,51,0,0
,,Madera County,0,0,0,,0,0,0,0,0,0,0
,,Marin County,0,0,0,,0,0,0,0,0,0,0
,,Mendocino County,0,0,0,,0,0,0,0,0,0,0
,,Merced County,0,0,0,,0,0,0,0,0,0,0
,,Modoc County,0,0,0,,0,0,0,0,0,0,0
,,Monterey County,0,0,0,,0,0,0,0,0,0,0
,,Napa County,0,0,0,,0,0,0,0,0,0,0
,,Nevada County,0,0,0,,0,0,0,0,0,0,0
,,Orange County,0,0,0,,0,0,2,1,1,0,0
,,Placer County,0,0,0,,0,0,15,2,13,0,0
,,Plumas County,0,0,0,,0,0,0,0,0,0,0
,,Riverside County,2,0,0,,0,2,18,7,11,0,0
,,Sacramento County,0,0,0,,0,0,10,4,6,0,0
,,San Benito County,0,0,0,,0,0,0,0,0,0,0
,,San Bernardino County,0,0,0,,0,0,32,10,22,0,0
,,San Francisco County,0,0,0,,0,0,0,0,0,0,0
,,San Joaquin County,0,0,0,,0,0,44,24,20,0,0
,,San Luis Obispo County,0,0,0,,0,0,2,0,2,0,0
,,San Mateo County,0,0,0,,0,0,0,0,0,0,0
,,Santa Barbara County,0,0,0,,0,0,2,0,2,0,0
,,Santa Clara County,0,0,0,,0,0,3,2,1,0,0
,,Santa Cruz County,0,0,0,,0,0,0,0,0,0,0
,,Shasta County,1,0,0,,0,1,2,0,2,0,0
,,Sierra County,0,0,0,,0,0,0,0,0,0,0
,,Siskiyou County,0,0,0,,0,0,3,0,3,0,0
,,Solano County,0,0,0,,0,0,2,1,1,0,0
,,Sonoma County,0,0,0,,0,0,0,0,0,0,0
,,Stanislaus County,0,0,0,,0,0,3,0,3,0,0
,,Sutter County,0,0,0,,0,0,1,0,1,0,0
,,Tehama County,0,0,0,,0,0,1,0,1,0,0
,,Trinity County,0,0,0,,0,0,0,0,0,0,0
,,Tulare County,0,0,0,,0,0,2,0,2,0,0
,,Ventura County,0,0,0,,0,0,2,0,2,0,0
,,Yolo County,0,0,0,,0,0,1,0,1,0,0
,,Yuba County,0,0,0,,0,0,3,0,3,0,0
COLORADO—State Agencies,Colorado Bureau of Investigation,,0,0,0,,0,0,0,0,0,0,0
,Colorado Mental Health Institute,,1,0,0,,0,1,2,1,1,0,0
,Colorado State Patrol,,9,0,0,,0,9,29,1,7,21,0
COLORADO—Tribal Agencies,Southern Ute Tribal,,9,0,4,,0,5,63,9,44,10,1
COLORADO–Other Agencies,All Crimes Enforcement Team,,0,0,0,,0,0,0,0,0,0,0
,Southwest Drug Task Force,,0,0,0,,0,0,0,0,0,0,0
CONNECTICUT–State Agencies,Connecticut State Police,,282,7,57,,37,181,2848,743,1793,312,17
,Department of Motor Vehicles,,0,0,0,,0,0,0,0,0,0,0
,State Capitol Police,,0,0,0,,0,0,7,1,6,0,0
CONNECTICUT–Tribal Agencies,Mashantucket Pequot Tribal,,20,0,3,,1,16,146,3,140,3,1
,Mohegan Tribal,,14,0,2,,2,10,307,3,298,6,0
CONNECTICUT–Other Agencies,Metropolitan Transportation Authority,,7,0,0,,1,6,62,0,62,0,0
DELAWARE–State Agencies,Alcohol and Tobacco Enforcement,,0,0,0,,0,0,0,0,0,0,0
,Animal Welfare:,Kent County,0,0,0,,0,0,1,0,1,0,0
,,New Castle County,0,0,0,,0,0,1,0,1,0,0
,,Sussex County,0,0,0,,0,0,1,0,1,0,0
,Attorney General,New Castle County,1,0,0,,0,1,0,0,0,0,0
,Environmental Control,,0,0,0,,0,0,1,0,1,0,0
,Fish and Wildlife,,1,0,0,,0,1,19,1,18,0,0
,Park Rangers,,3,0,1,,1,1,81,22,59,0,0
,River and Bay Authority,,4,0,0,,1,3,11,2,8,1,0
,State Capitol Police,,3,0,0,,0,3,15,0,14,1,0
,State Fire Marshal,,9,0,0,,0,9,8,6,2,0,155
,State Police,,1,0,1,,0,0,1,0,1,0,0
,State Police: ,Kent County,324,4,37,,52,231,1332,387,882,63,1
,,New Castle County,652,4,45,,323,280,5606,479,4978,149,0
,,Sussex County,510,5,63,,62,380,3222,1203,1905,114,1
DELAWARE–Other Agencies,Amtrak Police,,0,0,0,,0,0,3,0,2,1,1
,Dover Fire Marshal,,0,0,0,,0,0,0,0,0,0,6
DISTRICT OF COLUMBIA–Other Agencies,District of Columbia Fire and Emergency Medical Services,Arson Investigation Unit,0,0,0,,0,0,0,0,0,0,203
,Metro Transit Police,,503,1,5,,331,166,1055,1,980,74,3
FLORIDA—State Agencies,Capitol Police,,1,0,0,,0,1,11,2,9,0,0
,"Department of Corrections, Office of the Inspector General:",Alachua County,0,0,0,,0,0,0,0,0,0,0
,,Baker County,0,0,0,,0,0,0,0,0,0,0
,,Bay County,0,0,0,,0,0,0,0,0,0,0
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Brevard County,0,0,0,,0,0,0,0,0,0,0
,,Broward County,0,0,0,,0,0,0,0,0,0,0
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0
,,Citrus County,0,0,0,,0,0,0,0,0,0,0
,,Clay County,0,0,0,,0,0,0,0,0,0,0
,,Collier County,0,0,0,,0,0,0,0,0,0,0
,,Columbia County,0,0,0,,0,0,0,0,0,0,0
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0
,,Dixie County,0,0,0,,0,0,0,0,0,0,0
,,Duval County,0,0,0,,0,0,0,0,0,0,0
,,Escambia County,0,0,0,,0,0,0,0,0,0,0
,,Flagler County,0,0,0,,0,0,0,0,0,0,0
,,Franklin County,0,0,0,,0,0,0,0,0,0,0
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0
,,Glades County,0,0,0,,0,0,0,0,0,0,0
,,Gulf County,0,0,0,,0,0,0,0,0,0,0
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0
,,Hardee County,0,0,0,,0,0,0,0,0,0,0
,,Hendry County,0,0,0,,0,0,0,0,0,0,0
,,Hernando County,0,0,0,,0,0,0,0,0,0,0
,,Highlands County,0,0,0,,0,0,0,0,0,0,0
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0
,,Holmes County,0,0,0,,0,0,0,0,0,0,0
,,Indian River County,0,0,0,,0,0,0,0,0,0,0
,,Jackson County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0
,,Lake County,0,0,0,,0,0,0,0,0,0,0
,,Lee County,0,0,0,,0,0,0,0,0,0,0
,,Leon County,0,0,0,,0,0,0,0,0,0,0
,,Levy County,0,0,0,,0,0,0,0,0,0,0
,,Liberty County,0,0,0,,0,0,0,0,0,0,0
,,Madison County,0,0,0,,0,0,0,0,0,0,0
,,Manatee County,0,0,0,,0,0,0,0,0,0,0
,,Marion County,0,0,0,,0,0,0,0,0,0,0
,,Martin County,0,0,0,,0,0,0,0,0,0,0
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0
,,Monroe County,0,0,0,,0,0,0,0,0,0,0
,,Nassau County,0,0,0,,0,0,0,0,0,0,0
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0
,,Orange County,0,0,0,,0,0,0,0,0,0,0
,,Osceola County,0,0,0,,0,0,0,0,0,0,0
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0
,,Pasco County,0,0,0,,0,0,0,0,0,0,0
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0
,,Polk County,0,0,0,,0,0,0,0,0,0,0
,,Putnam County,0,0,0,,0,0,0,0,0,0,0
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0
,,Sarasota County,0,0,0,,0,0,0,0,0,0,0
,,Seminole County,0,0,0,,0,0,0,0,0,0,0
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0
,,St. Lucie County,0,0,0,,0,0,0,0,0,0,0
,,Sumter County,0,0,0,,0,0,0,0,0,0,0
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0
,,Taylor County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Volusia County,0,0,0,,0,0,0,0,0,0,0
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0
,,Walton County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,Department of Insurance:,Broward County,0,0,0,,0,0,0,0,0,0,0
,,Duval County,0,0,0,,0,0,0,0,0,0,0
,,Escambia County,0,0,0,,0,0,0,0,0,0,0
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0
,,Lee County,0,0,0,,0,0,0,0,0,0,0
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0
,,Orange County,0,0,0,,0,0,0,0,0,0,0
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0
,Department of Law Enforcement: ,"Duval County, Jacksonville",0,0,0,,0,0,0,0,0,0,0
,,"Escambia County, Pensacola",2,0,2,,0,0,1,0,1,0,0
,,"Hillsborough County, Tampa",2,0,1,,0,1,0,0,0,0,0
,,"Lee County, Fort Myers",0,0,0,,0,0,0,0,0,0,0
,,"Leon County, Tallahassee",0,0,0,,0,0,1,0,1,0,0
,,"Miami-Dade County, Miami",0,0,0,,0,0,0,0,0,0,0
,,"Orange County, Orlando",1,0,0,,0,1,4,0,4,0,0
,Division of Alcoholic Beverages and Tobacco:,Alachua County,0,0,0,,0,0,0,0,0,0,0
,,Baker County,0,0,0,,0,0,0,0,0,0,0
,,Bay County,0,0,0,,0,0,0,0,0,0,0
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Brevard County,0,0,0,,0,0,0,0,0,0,0
,,Broward County,0,0,0,,0,0,0,0,0,0,0
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0
,,Citrus County,0,0,0,,0,0,0,0,0,0,0
,,Clay County,0,0,0,,0,0,0,0,0,0,0
,,Collier County,0,0,0,,0,0,0,0,0,0,0
,,Columbia County,0,0,0,,0,0,0,0,0,0,0
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0
,,Dixie County,0,0,0,,0,0,0,0,0,0,0
,,Duval County,0,0,0,,0,0,0,0,0,0,0
,,Escambia County,0,0,0,,0,0,0,0,0,0,0
,,Flagler County,0,0,0,,0,0,0,0,0,0,0
,,Franklin County,0,0,0,,0,0,0,0,0,0,0
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0
,,Glades County,0,0,0,,0,0,0,0,0,0,0
,,Gulf County,0,0,0,,0,0,0,0,0,0,0
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0
,,Hardee County,0,0,0,,0,0,0,0,0,0,0
,,Hendry County,0,0,0,,0,0,0,0,0,0,0
,,Hernando County,0,0,0,,0,0,0,0,0,0,0
,,Highlands County,0,0,0,,0,0,0,0,0,0,0
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0
,,Holmes County,0,0,0,,0,0,0,0,0,0,0
,,Indian River County,0,0,0,,0,0,0,0,0,0,0
,,Jackson County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0
,,Lake County,0,0,0,,0,0,0,0,0,0,0
,,Lee County,0,0,0,,0,0,0,0,0,0,0
,,Leon County,0,0,0,,0,0,0,0,0,0,0
,,Levy County,0,0,0,,0,0,0,0,0,0,0
,,Liberty County,0,0,0,,0,0,0,0,0,0,0
,,Madison County,0,0,0,,0,0,0,0,0,0,0
,,Manatee County,0,0,0,,0,0,0,0,0,0,0
,,Marion County,0,0,0,,0,0,0,0,0,0,0
,,Martin County,0,0,0,,0,0,0,0,0,0,0
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0
,,Monroe County,0,0,0,,0,0,0,0,0,0,0
,,Nassau County,0,0,0,,0,0,0,0,0,0,0
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0
,,Orange County,0,0,0,,0,0,0,0,0,0,0
,,Osceola County,0,0,0,,0,0,0,0,0,0,0
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0
,,Pasco County,0,0,0,,0,0,0,0,0,0,0
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0
,,Polk County,0,0,0,,0,0,0,0,0,0,0
,,Putnam County,0,0,0,,0,0,0,0,0,0,0
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0
,,Sarasota County,0,0,0,,0,0,0,0,0,0,0
,,Seminole County,0,0,0,,0,0,0,0,0,0,0
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0
,,St. Lucie County,0,0,0,,0,0,0,0,0,0,0
,,Sumter County,0,0,0,,0,0,0,0,0,0,0
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0
,,Taylor County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Volusia County,0,0,0,,0,0,0,0,0,0,0
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0
,,Walton County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,Florida Game Commission: ,Alachua County,0,0,0,,0,0,0,0,0,0,0
,,Baker County,0,0,0,,0,0,0,0,0,0,0
,,Bay County,0,0,0,,0,0,0,0,0,0,0
,,Bradford County,0,0,0,,0,0,0,0,0,0,0
,,Brevard County,0,0,0,,0,0,0,0,0,0,0
,,Broward County,0,0,0,,0,0,0,0,0,0,0
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0
,,Charlotte County,0,0,0,,0,0,0,0,0,0,0
,,Citrus County,0,0,0,,0,0,0,0,0,0,0
,,Clay County,0,0,0,,0,0,0,0,0,0,0
,,Collier County,0,0,0,,0,0,0,0,0,0,0
,,Columbia County,0,0,0,,0,0,0,0,0,0,0
,,DeSoto County,0,0,0,,0,0,0,0,0,0,0
,,Dixie County,0,0,0,,0,0,0,0,0,0,0
,,Duval County,0,0,0,,0,0,0,0,0,0,0
,,Escambia County,0,0,0,,0,0,0,0,0,0,0
,,Flagler County,0,0,0,,0,0,0,0,0,0,0
,,Franklin County,0,0,0,,0,0,0,0,0,0,0
,,Gadsden County,0,0,0,,0,0,0,0,0,0,0
,,Gilchrist County,0,0,0,,0,0,0,0,0,0,0
,,Glades County,0,0,0,,0,0,0,0,0,0,0
,,Gulf County,0,0,0,,0,0,0,0,0,0,0
,,Hamilton County,0,0,0,,0,0,0,0,0,0,0
,,Hardee County,0,0,0,,0,0,0,0,0,0,0
,,Hendry County,0,0,0,,0,0,0,0,0,0,0
,,Hernando County,0,0,0,,0,0,0,0,0,0,0
,,Highlands County,0,0,0,,0,0,0,0,0,0,0
,,Hillsborough County,0,0,0,,0,0,0,0,0,0,0
,,Holmes County,0,0,0,,0,0,0,0,0,0,0
,,Indian River County,0,0,0,,0,0,0,0,0,0,0
,,Jackson County,0,0,0,,0,0,0,0,0,0,0
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0
,,Lafayette County,0,0,0,,0,0,0,0,0,0,0
,,Lake County,0,0,0,,0,0,0,0,0,0,0
,,Lee County,0,0,0,,0,0,0,0,0,0,0
,,Leon County,0,0,0,,0,0,0,0,0,0,0
,,Levy County,0,0,0,,0,0,0,0,0,0,0
,,Liberty County,0,0,0,,0,0,0,0,0,0,0
,,Madison County,0,0,0,,0,0,0,0,0,0,0
,,Manatee County,0,0,0,,0,0,0,0,0,0,0
,,Marion County,0,0,0,,0,0,0,0,0,0,0
,,Martin County,0,0,0,,0,0,0,0,0,0,0
,,Miami-Dade County,0,0,0,,0,0,0,0,0,0,0
,,Monroe County,0,0,0,,0,0,0,0,0,0,0
,,Nassau County,0,0,0,,0,0,0,0,0,0,0
,,Okaloosa County,0,0,0,,0,0,0,0,0,0,0
,,Okeechobee County,0,0,0,,0,0,0,0,0,0,0
,,Orange County,0,0,0,,0,0,0,0,0,0,0
,,Osceola County,0,0,0,,0,0,0,0,0,0,0
,,Palm Beach County,0,0,0,,0,0,0,0,0,0,0
,,Pasco County,0,0,0,,0,0,0,0,0,0,0
,,Pinellas County,0,0,0,,0,0,0,0,0,0,0
,,Polk County,0,0,0,,0,0,0,0,0,0,0
,,Putnam County,0,0,0,,0,0,0,0,0,0,0
,,Santa Rosa County,0,0,0,,0,0,0,0,0,0,0
,,Sarasota County,0,0,0,,0,0,0,0,0,0,0
,,Seminole County,0,0,0,,0,0,0,0,0,0,0
,,St. Johns County,0,0,0,,0,0,0,0,0,0,0
,,St. Lucie County,0,0,0,,0,0,0,0,0,0,0
,,Sumter County,0,0,0,,0,0,0,0,0,0,0
,,Suwannee County,0,0,0,,0,0,0,0,0,0,0
,,Taylor County,0,0,0,,0,0,0,0,0,0,0
,,Union County,0,0,0,,0,0,0,0,0,0,0
,,Volusia County,0,0,0,,0,0,0,0,0,0,0
,,Wakulla County,0,0,0,,0,0,0,0,0,0,0
,,Walton County,0,0,0,,0,0,0,0,0,0,0
,,Washington County,0,0,0,,0,0,0,0,0,0,0
,Highway Patrol:,Alachua County,1,0,0,,0,1,0,0,0,0,0
,,Baker County,0,0,0,,0,0,0,0,0,0,0
