column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n
,Nonmetropolitan counties,,,,,,,,,,,,
,Total,,681170,8214,139,532,401,3480,4063,32716,2361,27382,2973
,,"Rate per 100,000 inhabitants",,1205.9,20.4,78.1,58.9,510.9,596.5,4802.9,346.6,4019.8,436.5
FLORIDA,Metropolitan Statistical Area,,19905117, ,,,,,, ,,,
,,Area actually reporting,0.998,85184,1069,7340,5356,19854,56921,537956,95945,399765,42246
,,Estimated total,1,85327,1071,7352,5365,19889,57015,538945,96110,400513,42322
,Cities outside metropolitan areas,,146572,,,,,,,,,,
,,Area actually reporting,0.943,929,10,41,29,141,737,5149,1159,3742,248
,,Estimated total,1,985,11,44,32,149,781,5459,1229,3967,263
,Nonmetropolitan counties,,560750,,,,,,,,,,
,,Area actually reporting,1,2388,29,202,131,137,2020,9408,2986,5872,550
,State Total,,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135
,,"Rate per 100,000 inhabitants",,430.3,5.4,36.9,26.8,97.9,290.2,2686.8,486.7,1990.8,209.3
GEORGIA5,Metropolitan Statistical Area,,8537584,,,,,,,,,,
,,Area actually reporting,0.995,35058,586,2975,2159,11252,20245,261232,52059,184537,24636
,,Estimated total,1,35206,588,2986,2168,11297,20335,262449,52298,185405,24746
,Cities outside metropolitan areas,,644378,,,,,,,,,,
,,Area actually reporting,0.894,2807,53,219,166,641,1894,24709,4962,18977,770
,,Estimated total,1,3132,59,238,182,717,2118,27637,5550,21226,861
,Nonmetropolitan counties,,1128409,,,,,,,,,,
,,Area actually reporting,0.93,2464,32,262,165,178,1992,18309,5112,12086,1111
,,Estimated total,1,2652,34,285,178,191,2142,19684,5496,12994,1194
,State Total,,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801
,,"Rate per 100,000 inhabitants",,397.6,6.6,34,24.5,118.4,238.5,3004.5,614.4,2130.1,259.9
HAWAII,Metropolitan Statistical Area,,1160343,,,,,,,,,,
,,Area actually reporting,1,3781,21,459,343,904,2397,36333,4736,26534,5063
,Cities outside metropolitan areas,,,, ,,,,,,,,
,Nonmetropolitan counties,,268214,,,,,,,,,,
,,Estimated total,1,636,14,160,104,90,372,6420,1281,4548,591
,State Total, ,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654
,,"Rate per 100,000 inhabitants",,309.2,2.5,43.3,31.3,69.6,193.8,2992.7,421.2,2175.8,395.8
IDAHO,Metropolitan Statistical Area,,1127333,,,,,,, ,,,
,,Area actually reporting,1,2775,28,507,378,170,2070,21858,4307,16026,1525
,Cities outside metropolitan areas,,255530,,,,,,,,,,
,,Area actually reporting,0.991,587,11,116,85,32,428,4583,984,3310,289
,,Estimated total,1,592,11,117,86,32,432,4625,993,3340,292
,Nonmetropolitan counties, ,300277,,,,,,,, ,,
,,Area actually reporting,1,509,10,95,65,11,393,2874,1018,1596,260
,State Total,,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077
,,"Rate per 100,000 inhabitants",,230.3,2.9,42.7,31.4,12.7,172,1744.2,375.4,1245.4,123.4
ILLINOIS,Metropolitan Statistical Area,,11329203,,,,,,,,,,
,,Area actually reporting,0.974,51812,1016,4262,3172,17372,29162,234747,41931,173922,18894
,,Estimated total,1,52414,1022,4340,3231,17544,29508,239672,42707,177817,19148
,Cities outside metropolitan areas,,829170,,,,,,,,,,
,,Area actually reporting,0.842,2032,6,311,226,198,1517,14538,2946,11189,403
,,Estimated total,1,2399,7,355,264,235,1802,17269,3499,13291,479
,Nonmetropolitan counties,,643166,,,,,,,,,,
,,Area actually reporting,0.886,923,22,189,125,43,669,4755,1580,2924,251
,,Estimated total,1,1041,25,213,140,48,755,5365,1783,3299,283
,State Total,,12801539,55854,1054,4908,3635,17827,32065,262306,47989,194407,19910
,,"Rate per 100,000 inhabitants",,436.3,8.2,38.3,28.4,139.3,250.5,2049,374.9,1518.6,155.5
INDIANA6,Metropolitan Statistical Area,,5169542,,,,,,,,,,
,,Area actually reporting,0.84,22873,370,1868,1400,6857,13778,134126,26691,95363,12072
,,Estimated total,1,24435,396,2068,1546,7126,14845,148420,29206,105936,13278
,Cities outside metropolitan areas, ,522889,,,,,,,,,,
,,Area actually reporting,0.627,774,7,110,81,100,557,9245,1381,7357,507
,,Estimated total,1,1236,11,178,134,159,888,14740,2202,11730,808
,Nonmetropolitan counties,,940622,,,,,,,,,,
,,Area actually reporting,0.6,694,19,143,98,27,505,5158,1613,3158,387
,,Estimated total,1,1174,32,255,171,45,842,8599,2689,5265,645
,State Total,,6633053,26845,439,2501,1851,7330,16575,171759,34097,122931,14731
,,"Rate per 100,000 inhabitants",,404.7,6.6,37.7,27.9,110.5,249.9,2589.4,514,1853.3,222.1
IOWA,Metropolitan Statistical Area,,1857824, ,,,,,,,,,
,,Area actually reporting,0.988,6150,50,884,658,969,4247,46230,9808,32675,3747
,,Estimated total,1,6192,50,891,663,971,4280,46504,9882,32856,3766
,Cities outside metropolitan areas,,595688,,,,,,,,,,
,,Area actually reporting,0.974,2094,13,239,175,162,1680,14370,3350,10238,782
,,Estimated total,1,2151,13,246,181,166,1726,14760,3441,10516,803
,Nonmetropolitan counties,,681181,,,,,,,,,,
,,Area actually reporting,0.975,748,8,107,75,11,622,4026,1665,1957,404
,,Estimated total,1,767,8,110,78,11,638,4127,1707,2006,414
,State Total,,3134693,9110,71,1247,922,1148,6644,65391,15030,45378,4983
,,"Rate per 100,000 inhabitants",,290.6,2.3,39.8,29.4,36.6,212,2086,479.5,1447.6,159
KANSAS,Metropolitan Statistical Area,,1970971, ,,,,,,,,,
,,Area actually reporting,0.979,8227,85,887,659,1451,5804,56252,9453,41266,5533
,,Estimated total,1,8310,86,898,666,1460,5866,57021,9579,41845,5597
,Cities outside metropolitan areas,,605300,,,,,,,,,,
,,Area actually reporting,0.953,1973,11,328,239,178,1456,16659,3234,12498,927
,,Estimated total,1,2068,12,341,251,187,1528,17483,3394,13116,973
,Nonmetropolitan counties,,331018,,,,,,,,,,
,,Area actually reporting,0.928,633,12,68,50,22,531,3583,1290,1953,340
,,Estimated total,1,682,13,73,54,24,572,3863,1391,2105,367
,State Total,,2907289,11060,111,1312,971,1671,7966,78367,14364,57066,6937
,,"Rate per 100,000 inhabitants",,380.4,3.8,45.1,33.4,57.5,274,2695.5,494.1,1962.9,238.6
KENTUCKY,Metropolitan Statistical Area,,2604116, ,,,,,, ,,,
,,Area actually reporting,1,7859,176,879,659,2911,3893,73569,14192,51591,7786
,Cities outside metropolitan areas,,538773,,,,,,,,,,
,,Area actually reporting,1,959,14,195,141,298,452,13676,2835,9932,909
,Nonmetropolitan counties,,1294085,,,,,,,,,,
,,Area actually reporting,1,1490,70,567,374,160,693,9913,3807,4915,1191
,State Total,,4436974,10308,260,1641,1174,3369,5038,97158,20834,66438,9886
,,"Rate per 100,000 inhabitants",,232.3,5.9,37,26.5,75.9,113.5,2189.7,469.6,1497.4,222.8
LOUISIANA,Metropolitan Statistical Area,,3923928, ,,,,,, ,,,
,,Area actually reporting,0.991,22991,497,1631,1198,5198,15665,134283,29366,95483,9434
,,Estimated total,1,23135,499,1639,1205,5220,15777,135537,29581,96462,9494
,Cities outside metropolitan areas,,248647,,,,,,,,,,
,,Area actually reporting,0.916,1611,19,75,54,246,1271,10561,2695,7523,343
,,Estimated total,1,1758,21,82,61,268,1387,11525,2941,8210,374
,Nonmetropolitan counties,,509091,,,,,,,,,,
,,Area actually reporting,0.97,1560,33,92,60,85,1350,7106,2081,4568,457
,,Estimated total,1,1609,34,95,62,88,1392,7324,2145,4708,471
,State Total,,4681666,26502,554,1816,1328,5576,18556,154386,34667,109380,10339
,,"Rate per 100,000 inhabitants",,566.1,11.8,38.8,28.4,119.1,396.4,3297.7,740.5,2336.3,220.8
MAINE,Metropolitan Statistical Area,,789447,,,,,,,,,,
,,Area actually reporting,1,1003,8,225,171,198,572,13743,2404,10881,458
,Cities outside metropolitan areas,,258813,,,,,,,,,,
,,Area actually reporting,1,396,7,116,82,53,220,5404,839,4416,149
,Nonmetropolitan counties,,283219,,,,,,,,,,
,,Area actually reporting,1,249,5,71,47,15,158,2765,760,1837,168
,State Total,,1331479,1648,20,412,300,266,950,21912,4003,17134,775
,,"Rate per 100,000 inhabitants",,123.8,1.5,30.9,22.5,20,71.3,1645.7,300.6,1286.8,58.2
MARYLAND,Metropolitan Statistical Area,,5866031,,,,,,,,,,
,,Area actually reporting,0.881,25972,459,1525,1103,9635,14353,121542,21943,88677,10922
,,Estimated total,1,28003,477,1711,1235,10222,15593,134419,24001,98686,11732
,Cities outside metropolitan areas,,52622,,,,,,,,,,
,,Area actually reporting,1,246,3,24,17,58,161,1823,325,1451,47
,Nonmetropolitan counties,,97794,,,,,,,,,,
,,Area actually reporting,1,151,1,21,14,9,120,1203,366,782,55
,State Total,,6016447,28400,481,1756,1266,10289,15874,137445,24692,100919,11834
,,"Rate per 100,000 inhabitants",,472,8,29.2,21,171,263.8,2284.5,410.4,1677.4,196.7
MASSACHUSETTS,Metropolitan Statistical Area,,6713214,,,,,,,,,,
,,Area actually reporting,0.976,24834,128,2026,1512,5265,17415,102464,18439,76183,7842
,,Estimated total,1,25319,129,2070,1547,5344,17776,104725,18841,77877,8007
,Cities outside metropolitan areas,,91574,,,,,,,,,,
,,Area actually reporting,0.849,300,4,49,37,18,229,1370,299,1028,43
,,Estimated total,1,353,5,57,44,21,270,1614,352,1211,51
,Nonmetropolitan counties,,6991,,,,,,,,,,
,,Area actually reporting,1,5,0,1,1,0,4,0,0,0,0
,State Total,,6811779,25677,134,2128,1592,5365,18050,106339,19193,79088,8058
,,"Rate per 100,000 inhabitants",,376.9,2,31.2,23.4,78.8,265,1561.1,281.8,1161,118.3
MICHIGAN,Metropolitan Statistical Area,,8132404,,,,,,,,,,
,,Area actually reporting,0.998,40537,568,5310,3900,6971,27688,165035,34569,111303,19163
,,Estimated total,1,40579,568,5317,3905,6979,27715,165307,34612,111510,19185
,Cities outside metropolitan areas,,596485,,,,,,,,,,
,,Area actually reporting,0.916,1474,7,501,356,71,895,10647,1272,9051,324
,,Estimated total,1,1611,8,548,390,78,977,11623,1389,9880,354
,Nonmetropolitan counties,,1199411,,,,,,,,,,
,,Area actually reporting,0.987,3339,22,1244,809,62,2011,12526,3521,8376,629
,,Estimated total,1,3382,22,1260,819,63,2037,12690,3567,8486,637
,State Total, ,9928300,45572,598,7125,5114,7120,30729,189620,39568,129876,20176
,,"Rate per 100,000 inhabitants",,459,6,71.8,51.5,71.7,309.5,1909.9,398.5,1308.1,203.2
MINNESOTA,Metropolitan Statistical Area,,4285006,,,,,,,,,,
,,Area actually reporting,1,11636,84,1891,1409,3610,6051,99694,15244,76823,7627
,Cities outside metropolitan areas,,536351,,,,,,,,,,
,,Area actually reporting,1,1071,9,265,194,93,704,11809,1529,9732,548
,Nonmetropolitan counties,,698595,,,,,,,,,,
,,Area actually reporting,1,687,8,192,128,25,462,6253,1833,3867,553
,State Total,,5519952,13394,101,2348,1731,3728,7217,117756,18606,90422,8728
,,"Rate per 100,000 inhabitants",,242.6,1.8,42.5,31.4,67.5,130.7,2133.3,337.1,1638.1,158.1
MISSISSIPPI6,Metropolitan Statistical Area,,1377735, ,,,,,,,,,
,,Area actually reporting,0.817,3304,103,382,280,1188,1631,33547,7390,23892,2265
,,Estimated total,1,3732,111,431,316,1298,1892,39162,8556,28063,2543
,Cities outside metropolitan areas,,582351,,,,,,,,,,
,,Area actually reporting,0.454,1171,34,154,115,376,607,12437,3562,8431,444
,,Estimated total,1,2602,75,360,273,829,1338,27419,7853,18587,979
,Nonmetropolitan counties,,1028640,,,,,,,,,,
,,Area actually reporting,0.363,718,19,151,99,98,450,5856,2518,3047,291
,,Estimated total,1,2049,52,486,316,270,1241,16151,6945,8404,802
,State Total,,2988726,8383,238,1277,905,2397,4471,82732,23354,55054,4324
,,"Rate per 100,000 inhabitants",,280.5,8,42.7,30.3,80.2,149.6,2768.1,781.4,1842.1,144.7
MISSOURI,Metropolitan Statistical Area,,4549686, ,,,,,,,,,
,,Area actually reporting,0.999,26940,474,2151,1593,6269,18046,138969,24543,98114,16312
,,Estimated total,1,26941,474,2151,1593,6269,18047,138978,24544,98121,16313
,Cities outside metropolitan areas,,660363,,,,,,,,,,
,,Area actually reporting,0.993,2434,32,239,177,240,1923,21155,3641,16533,981
,,Estimated total,1,2450,32,240,178,242,1936,21296,3665,16643,988
,Nonmetropolitan counties,,882951,,,,,,,,,,
,,Area actually reporting,1,2253,31,163,113,59,2000,10275,3501,5780,994
,State Total,,6093000,31644,537,2554,1884,6570,21983,170549,31710,120544,18295
,,"Rate per 100,000 inhabitants",,519.4,8.8,41.9,30.9,107.8,360.8,2799.1,520.4,1978.4,300.3
MONTANA,Metropolitan Statistical Area,,367953, ,,,,,,,,,
,,Area actually reporting,0.999,1306,7,185,137,172,942,13377,1823,10180,1374
,,Estimated total,1,1307,7,185,137,172,943,13392,1824,10193,1375
,Cities outside metropolitan areas,,220793,,,,,,,,,,
,,Area actually reporting,1,1335,11,242,177,68,1014,7694,938,6096,660
,Nonmetropolitan counties,,453774,,,,,,,,,,
,,Area actually reporting,0.989,1186,18,150,99,26,992,6818,1160,4957,701
,,Estimated total,1,1198,18,151,100,26,1003,6890,1172,5010,708
,State Total,,1042520,3840,36,578,414,266,2960,27976,3934,21299,2743
,,"Rate per 100,000 inhabitants",,368.3,3.5,55.4,39.7,25.5,283.9,2683.5,377.4,2043,263.1
NEBRASKA6,Metropolitan Statistical Area,,1240589,,,,,,,,,,
,,Area actually reporting,0.992,4383,43,719,539,877,2744,32557,4432,24021,4104
,,Estimated total,1,4398,43,723,543,878,2754,32713,4451,24143,4119
,Cities outside metropolitan areas,,338960,,,,,,,,,,
,,Area actually reporting,0.935,794,4,188,135,55,547,7716,1329,6011,376
,,Estimated total,1,848,4,200,145,59,585,8249,1421,6426,402
,Nonmetropolitan counties,,327567,,,,,,,,,,
,,Area actually reporting,0.905,275,2,64,43,8,201,1992,518,1289,185
,,Estimated total,1,304,2,71,50,9,222,2201,572,1425,204
,State Total,,1907116,5550,49,994,738,946,3561,43163,6444,31994,4725
,,"Rate per 100,000 inhabitants",,291,2.6,52.1,38.7,49.6,186.7,2263.3,337.9,1677.6,247.8
NEVADA,Metropolitan Statistical Area,,2668109,,,,,,,,,,
,,Area actually reporting,1,19133,209,1616,1211,6292,11016,71672,17652,41249,12771
,Cities outside metropolitan areas,,48603,,,,,,,,,,
,,Area actually reporting,1,311,5,49,35,21,236,1308,327,875,106
,Nonmetropolitan counties,,223346,,,,,,,,,,
,,Area actually reporting,1,492,10,68,46,27,387,3067,871,1893,303
,State Total,,2940058,19936,224,1733,1292,6340,11639,76047,18850,44017,13180
,,"Rate per 100,000 inhabitants",,678.1,7.6,58.9,43.9,215.6,395.9,2586.6,641.1,1497.1,448.3
NEW HAMPSHIRE,Metropolitan Statistical Area,,839311,,,,,,,,,,
,,Area actually reporting,0.99,1721,10,340,249,327,1044,11923,1580,9793,550
,,Estimated total,1,1733,10,343,252,329,1051,12030,1594,9881,555
,Cities outside metropolitan areas,,452615,,,,,,,,,,
,,Area actually reporting,0.894,749,5,200,143,85,459,6996,1117,5624,255
,,Estimated total,1,839,6,224,161,95,514,7829,1250,6294,285
,Nonmetropolitan counties,,42869,,,,,,,,,,
,,Area actually reporting,0.936,61,1,14,9,3,43,313,111,173,29
,,Estimated total,1,65,1,15,10,3,46,335,119,185,31
,State Total,,1334795,2637,17,582,423,427,1611,20194,2963,16360,871
,,"Rate per 100,000 inhabitants",,197.6,1.3,43.6,31.7,32,120.7,1512.9,222,1225.7,65.3
NEW JERSEY,Metropolitan Statistical Area,,8944469,,,,,,,,,,
,,Area actually reporting,1,21914,372,1453,1089,8984,11105,138152,25284,101540,11328
,Cities outside metropolitan areas,,,,,,,,,,,,
,Nonmetropolitan counties,,,,,,,,,,,,
,State Total,,8944469,21914,372,1453,1089,8984,11105,138152,25284,101540,11328
,,"Rate per 100,000 inhabitants",,245,4.2,16.2,12.2,100.4,124.2,1544.6,282.7,1135.2,126.6
NEW MEXICO6,Metropolitan Statistical Area,,1386406, ,,,,,, ,,,
,,Area actually reporting,0.993,10595,90,1053,782,2402,7050,61466,12212,39082,10172
,,Estimated total,1,10643,90,1059,786,2406,7088,61774,12273,39287,10214
,Cities outside metropolitan areas,,399862,,,,,,,,,,
,,Area actually reporting,0.969,2628,34,273,205,290,2031,16171,3615,11494,1062
,,Estimated total,1,2710,35,281,211,299,2095,16682,3729,11857,1096
,Nonmetropolitan counties,,294747,,,,,,,,,,
,,Area actually reporting,0.929,1177,13,173,112,30,961,3228,1188,1638,402
,,Estimated total,1,1266,14,186,120,32,1034,3475,1279,1763,433
,State Total,,2081015,14619,139,1526,1117,2737,10217,81931,17281,52907,11743
,,"Rate per 100,000 inhabitants",,702.5,6.7,73.3,53.7,131.5,491,3937.1,830.4,2542.4,564.3
NEW YORK6,Metropolitan Statistical Area,,18370635,,,,,,,,,,
,,Area actually reporting,0.994,71419,610,5218,3864,22032,43559,283107,35538,233778,13791
,,Estimated total,1,71584,612,5246,3884,22074,43652,284602,35733,235018,13851
,Cities outside metropolitan areas,,506786,,,,,,,,,,
,,Area actually reporting,0.981,1297,13,311,227,180,793,11126,1927,8971,228
,,Estimated total,1,1324,13,318,233,184,809,11344,1965,9147,232
,Nonmetropolitan counties,,867868,,,,,,,,,,
,,Area actually reporting,1,1377,5,696,452,58,618,9235,2123,6803,309
,State Total,,19745289,74285,630,6260,4569,22316,45079,305181,39821,250968,14392
,,"Rate per 100,000 inhabitants",,376.2,3.2,31.7,23.1,113,228.3,1545.6,201.7,1271,72.9
NORTH CAROLINA6,Metropolitan Statistical Area,,7938934,,,,,,,,,,
,,Area actually reporting,0.976,30341,486,2259,1673,8030,19566,216973,51738,152826,12409
,,Estimated total,1,30715,492,2290,1699,8110,19823,220854,52773,155488,12593
,Cities outside metropolitan areas,,649752,,,,,,,,,,
,,Area actually reporting,0.88,3418,67,240,179,771,2340,26745,7093,18539,1113
,,Estimated total,1,3870,76,258,196,876,2660,30403,8063,21075,1265
,Nonmetropolitan counties,,1558102,,,,,,,,,,
,,Area actually reporting,0.953,3032,105,286,182,333,2308,25253,10714,13160,1379
,,Estimated total,1,3184,110,301,191,350,2423,26508,11246,13814,1448
,State Total,,10146788,37769,678,2849,2086,9336,24906,277765,72082,190377,15306
,,"Rate per 100,000 inhabitants",,372.2,6.7,28.1,20.6,92,245.5,2737.5,710.4,1876.2,150.8
NORTH DAKOTA,Metropolitan Statistical Area,,371557, ,,,,,,,,,
,,Area actually reporting,1,1119,8,214,160,136,761,10363,1820,7562,981
,Cities outside metropolitan areas,,201068,,,,,,,,,,
,,Area actually reporting,0.998,591,5,86,64,36,464,5022,934,3441,647
,,Estimated total,1,592,5,86,64,36,465,5033,936,3449,648
,Nonmetropolitan counties,,185327,,,,,,,,,,
,,Area actually reporting,1,192,2,42,32,9,139,2006,487,1184,335
,State Total,,757952,1903,15,342,256,181,1365,17402,3243,12195,1964
,,"Rate per 100,000 inhabitants",,251.1,2,45.1,33.8,23.9,180.1,2295.9,427.9,1608.9,259.1
OHIO6,Metropolitan Statistical Area,,9255325,,,,,,,,,,
,,Area actually reporting,0.916,30462,574,4474,3337,11543,13871,237037,53589,165991,17457
,,Estimated total,1,31626,592,4731,3534,11914,14389,253645,56493,178994,18158
,Cities outside metropolitan areas,,1046316,,,,,,,,,,
,,Area actually reporting,0.811,1463,25,381,282,334,723,24090,4632,18826,632
,,Estimated total,1,1806,31,471,353,412,892,29716,5714,23222,780
,Nonmetropolitan counties,,1312732,,,,,,,,,,
,,Area actually reporting,0.947,1365,29,363,238,187,786,15145,4427,10028,690
,,Estimated total,1,1445,31,387,254,197,830,15996,4676,10591,729
,State Total,,11614373,34877,654,5589,4141,12523,16111,299357,66883,212807,19667
,,"Rate per 100,000 inhabitants",,300.3,5.6,48.1,35.7,107.8,138.7,2577.5,575.9,1832.3,169.3
OKLAHOMA6,Metropolitan Statistical Area,,2640800,,,,,,,,,,
,,Area actually reporting,0.999,13864,196,1577,1179,2824,9267,86883,20696,56351,9836
,,Estimated total,1,13866,196,1577,1179,2824,9269,86913,20702,56372,9839
,Cities outside metropolitan areas,,682233,,,,,,,,,,
,,Area actually reporting,0.999,2714,28,324,238,311,2051,22843,5563,15775,1505
,,Estimated total,1,2716,28,324,238,311,2053,22863,5568,15789,1506
,Nonmetropolitan counties,,600528,,,,,,,,,,
,,Area actually reporting,0.913,974,19,126,84,25,804,6631,2587,3304,740
,,Estimated total,1,1066,21,138,92,27,880,7261,2833,3618,810
,State Total,,3923561,17648,245,2039,1509,3162,12202,117037,29103,75779,12155
,,"Rate per 100,000 inhabitants",,449.8,6.2,52,38.5,80.6,311,2982.9,741.7,1931.4,309.8
OREGON6,Metropolitan Statistical Area,,3431824,,,,,,,,,,
,,Area actually reporting,0.987,9177,71,1459,1076,2110,5537,102894,13568,77779,11547
,,Estimated total,1,9278,72,1483,1095,2129,5594,104098,13706,78729,11663
,Cities outside metropolitan areas,,308081,,,,,,,,,,
,,Area actually reporting,0.946,730,10,131,95,113,476,11246,1732,8766,748
